Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"calendar (module)",1,0.00,0.00,1.08,0.19,"calendar.py",
"zipfile.ZipInfo.__init__",120,0.00,0.00,0.00,0.00,"zipfile.py",
"sre_parse.isname",45,0.00,0.00,0.01,0.00,"sre_parse.py",
"email.quoprimime (module)",1,0.00,0.00,0.44,0.18,"quoprimime.py",
"sre_compile._code",54,0.02,0.00,0.48,0.00,"sre_compile.py",
"sre_parse.SubPattern.append",868,0.00,0.00,0.00,0.00,"sre_parse.py",
"type.__new__",33,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"_io.BufferedReader.read",3,0.00,0.00,0.06,0.06,"Unidentifiable Method",
"_weakrefset.WeakSet.__iter__",8,0.00,0.00,0.03,0.02,"_weakrefset.py",
"threading (module)",1,0.00,0.00,1.80,0.16,"threading.py",
"sre_parse._class_escape",117,0.00,0.00,0.00,0.00,"sre_parse.py",
"collections.namedtuple",5,0.01,0.00,2.52,0.03,"collections.py",
"io.open",2,0.00,0.00,0.08,0.08,"io",
"min","1,304",0.00,0.00,0.00,0.00,"builtins",
"_compat_pickle (module)",1,0.00,0.00,0.16,0.15,"_compat_pickle.py",
"threading._MainThread.__init__",1,0.00,0.00,0.70,0.15,"threading.py",
"functools.decorating_function",1,0.00,0.00,0.77,0.15,"functools.py",
"ZipProvider._index",1,0.00,0.00,0.35,0.14,"__init__.py",
".from_location",8,0.00,0.00,0.20,0.02,"__init__.py",
"ntpath.split",20,0.00,0.00,0.01,0.01,"ntpath.py",
"sre_parse.SubPattern.__len__",886,0.00,0.00,0.00,0.00,"sre_parse.py",
"base64 (module)",1,0.00,0.00,0.16,0.13,"base64.py",
"pkgutil (module)",1,0.00,0.00,0.30,0.13,"pkgutil.py",
"ntpath._get_dot",340,0.00,0.00,0.00,0.00,"ntpath.py",
"abc.__subclasscheck__",7,0.00,0.00,0.38,0.02,"abc.py",
"EggProvider._setup_prefix",4,0.00,0.00,0.10,0.03,"__init__.py",
".find_distributions",14,0.00,0.00,0.02,0.01,"__init__.py",
"WorkingSet.add_entry",14,0.01,0.00,0.73,0.01,"__init__.py",
"str.format",47,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"abc.__new__",7,0.00,0.00,0.05,0.02,"abc.py",
"ntpath._get_altsep",355,0.00,0.00,0.00,0.00,"ntpath.py",
"_sre.compile",54,0.00,0.00,0.00,0.00,"_sre",
"str.endswith",998,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"dir",4,0.00,0.00,0.03,0.03,"builtins",
"pygame.Surface.fill",1,0.00,0.00,0.12,0.12,"Unidentifiable Method",
"string.__init__",1,0.00,0.00,2.64,0.11,"string.py",
"nt.getcwd",1,0.00,0.00,0.11,0.11,"nt",
"racing-game-fixed.Texture.__init__",3,0.02,0.00,8.80,0.04,"racing-game-fixed.py",
"str.lower",600,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"pygame.sysfont (module)",1,0.00,0.00,0.10,0.10,"sysfont.py",
".find_eggs_in_zip",4,0.00,0.00,1.25,0.03,"__init__.py",
"version._cmpkey",6,0.00,0.00,0.02,0.02,"version.py",
"sre_parse._escape",128,0.00,0.00,0.00,0.00,"sre_parse.py",
"email.quoprimime.<genexpr>",257,0.00,0.00,0.00,0.00,"quoprimime.py",
"Distribution.__init__",8,0.00,0.00,0.17,0.01,"__init__.py",
"sre_parse.Tokenizer.__init__",54,0.00,0.00,0.00,0.00,"sre_parse.py",
"._initialize_master_working_set",1,0.01,0.00,11.37,0.09,"__init__.py",
"Distribution.insert_on",4,0.00,0.00,0.06,0.02,"__init__.py",
"datetime.timedelta",1,0.00,0.00,0.09,0.09,"datetime.py",
".<genexpr>",121,0.00,0.00,0.00,0.00,"__init__.py",
"getattr",221,0.00,0.00,0.00,0.00,"builtins",
"threading._Condition.notify",1,0.00,0.00,0.09,0.09,"threading.py",
"abc.__instancecheck__",1,0.00,0.00,0.48,0.09,"abc.py",
"datetime.__new__",2,0.00,0.00,0.05,0.04,"datetime.py",
".get_build_platform",1,0.00,0.00,0.10,0.09,"__init__.py",
"warnings (module)",1,0.00,0.00,0.33,0.08,"warnings.py",
"pickle.<listcomp>",1,0.00,0.00,0.51,0.08,"pickle.py",
"_sre.getlower",560,0.00,0.00,0.00,0.00,"_sre",
"specifiers.Specifier",1,0.01,0.00,10.80,0.08,"specifiers.py",
"_sre.SRE_Pattern.match",99,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"datetime.__new__",9,0.00,0.00,0.01,0.01,"datetime.py",
"sre_parse.Pattern.opengroup",118,0.00,0.00,0.00,0.00,"sre_parse.py",
"ntpath.join",13,0.00,0.00,0.01,0.01,"ntpath.py",
"types (module)",1,0.00,0.00,0.15,0.07,"types.py",
"ZipProvider._has",3,0.00,0.00,1.19,0.02,"__init__.py",
".safe_version",6,0.00,0.00,0.16,0.01,"__init__.py",
"Distribution.activate",4,0.00,0.00,0.22,0.02,"__init__.py",
"datetime._check_date_fields",4,0.00,0.00,0.02,0.02,"datetime.py",
"specifiers.BaseSpecifier",1,0.00,0.00,0.07,0.07,"specifiers.py",
"pkgutil.get_importer",14,0.00,0.00,0.01,0.00,"pkgutil.py",
"re.compile",53,0.03,0.00,0.87,0.00,"re.py",
"all",26,0.00,0.00,0.00,0.00,"builtins",
"collections.OrderedDict.__init__",1,0.00,0.00,0.59,0.07,"collections.py",
"int.bit_length",370,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"__future__ (module)",1,0.00,0.00,0.15,0.06,"__future__.py",
"zipfile.ZipFile.__init__",1,0.00,0.00,1.77,0.06,"zipfile.py",
"str.split",150,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"ntpath.abspath",11,0.00,0.00,0.06,0.01,"ntpath.py",
"WorkingSet.add",8,0.00,0.00,0.02,0.01,"__init__.py",
"zipfile._EndRecData",1,0.00,0.00,0.13,0.06,"zipfile.py",
"os._get_exports_list",1,0.00,0.00,0.12,0.06,"os.py",
"_codecs.charmap_decode",120,0.00,0.00,0.00,0.00,"_codecs",
"calendar._localized_day",1,0.00,0.00,0.07,0.06,"calendar.py",
"symbol (module)",1,0.00,0.00,0.06,0.06,"symbol.py",
"pygame.pkgdata.getResource",1,0.00,0.00,0.57,0.06,"pkgdata.py",
"datetime.timezone",1,0.00,0.00,0.09,0.06,"datetime.py",
"pygame.display.set_caption",1,0.00,0.00,0.06,0.06,"pygame.display",
"dict.get",617,0.00,0.00,0.00,0.00,"Unidentifiable Method",
