Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee",".get_supported_platform","_sre.SRE_Pattern.match",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root",".IMetadataProvider",".IMetadataProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".IMetadataProvider","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".IResourceProvider",".IResourceProvider",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".IResourceProvider","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".key",".key",28,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".key","WorkingSet.add",28,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".key","Distribution.__getattr__",8,0.00,0.00,0.00,0.00,"__init__.py",
"Callee",".key","str.lower",8,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"Root",".MarkerEvaluation",".MarkerEvaluation",1,0.00,0.00,0.01,0.01,"__init__.py",
"Caller",".MarkerEvaluation","__build_class__",1,0.00,0.00,0.01,0.01,"builtins",
"Callee",".MarkerEvaluation","globals",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".MemoizedZipManifests",".MemoizedZipManifests",1,0.01,0.00,7.44,0.00,"__init__.py",
"Caller",".MemoizedZipManifests","__build_class__",1,0.01,0.00,7.44,0.00,"builtins",
"Callee",".MemoizedZipManifests","collections.namedtuple",1,0.01,0.00,7.44,0.03,"collections.py",
"Root",".normalize_path",".normalize_path",10,0.00,0.00,0.02,0.00,"__init__.py",
"Caller",".normalize_path","._normalize_cached",10,0.00,0.00,0.02,0.00,"__init__.py",
"Callee",".normalize_path","ntpath.abspath",10,0.00,0.00,0.02,0.00,"ntpath.py",
"Callee",".normalize_path","ntpath.normcase",10,0.00,0.00,0.00,0.00,"ntpath.py",
"Root",".NullProvider",".NullProvider",1,0.00,0.00,0.01,0.01,"__init__.py",
"Caller",".NullProvider","__build_class__",1,0.00,0.00,0.01,0.01,"builtins",
"Root",".PathMetadata",".PathMetadata",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".PathMetadata","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".PEP440Warning",".PEP440Warning",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".PEP440Warning","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".register_finder",".register_finder",3,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".register_finder"," (module)",3,0.00,0.00,0.00,0.00,"__init__.py",
"Root",".register_loader_type",".register_loader_type",3,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".register_loader_type"," (module)",3,0.00,0.00,0.00,0.00,"__init__.py",
"Root",".register_namespace_handler",".register_namespace_handler",3,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".register_namespace_handler"," (module)",3,0.00,0.00,0.00,0.00,"__init__.py",
"Root",".Requirement",".Requirement",1,0.00,0.00,0.00,0.00,"__init__.py",
"Caller",".Requirement","__build_class__",1,0.00,0.00,0.00,0.00,"builtins",
"Root",".RequirementParseError",".RequirementParseError",1,0.00,0.00,0.00,0.00,"__init__.py",
